date,year,month,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64
2000-04-30,2000,4,0.7985042916631258,0.7985042916631258,0.7985042916631258,0.877369204600378,0.9744034606119423,2.1962897308250486,0.7318175407385039,1.3009266584768535,1.6847347776774961,1.666725569888673,0.8870887893917089,0.8120067700860152,1.0911007811339626,0.9866624903122266,2.12227536837013,0.9144237272205569,2.089111761134077,1.1697823416824,0.9015314858500331,0.8525886404807889,0.5463056808025429,0.9957123126851526,0.9188511440725288,0.9157716223855284,1.1141714793425148,0.45147724840351866,1.0337431336646612,0.6994284581371965,0.5987852014234775,0.6551040634291376,0.842611814103489,1.0275322051022986,0.2436380772855796,0.5887694398276819,NA,0.700666187752109,0.9789126791401974,0.5295808843962369,0.9450069532734212,0.36554358439408,0.7316462039589076,0.7316462039589076,0.7316462039589076,NA,0.77340776452677,0.42120700331210836,0.513655317040283,0.2471485007283396,0.7444804168929591,0.39460715494969056,0.6295589937445779,0.4432568825185249,0.5795257878178547,0.39799625716824283,0.858045271100193,0.655974648354956,0.5193815848630553,0.7755102040816326,0.5437069809454517,NA,0.8805815160955347,0.7957183523796333,0.6545484383428909,0.9711208097316371
2000-05-31,2000,5,0.8056428996345714,0.8056428996345714,0.8056428996345714,1.0340505640760136,0.9958779344370976,2.4861845865369343,0.7971650990389266,1.4635951976692256,1.7402324976401766,1.6603640219119986,1.0666276719873093,0.882559306634575,1.2277004202347028,1.1657073518383405,2.3958715751628596,1.0222978219216112,2.3861116436923964,1.2964964262924366,1.009075566814659,1.015513999230321,0.6591829668073356,1.1100244814992708,1.1445569418201598,0.9044657998869416,1.1418924922256777,0.49179749137683243,1.0232801464818204,0.7679857524315851,0.6653473866798226,0.6471754212091178,0.9198200385675235,1.0305632735539278,0.24646559849198862,0.6241597817487118,NA,0.733862481375807,1.036812137427672,0.5287539223756996,0.9686673306914245,0.4183903713271983,0.7306439488849914,0.7306439488849914,0.7306439488849914,NA,0.77340776452677,0.40082725325158924,0.5239134013012501,0.22665021454195675,0.7898778111994631,0.4046961855203736,0.6790239871206794,0.5217262125284746,0.7357116295348514,0.40215979766671833,0.8569924548166346,0.6249425217747095,0.5227996929906368,0.781954887218045,0.552082349848847,NA,0.8639667705088265,0.9160573773119084,0.6798726497770882,1.0324078373107994
2000-06-30,2000,6,0.8097221041896832,0.8097221041896832,0.8097221041896832,1.0343144902295869,0.9923827986529402,2.5560342602865798,0.772292360184133,1.4444821718486762,1.8099964640581214,1.5967485421452554,1.08249945612812,0.9571074770309396,1.2352700994090418,1.2059113682050953,2.4129572579910645,1.0332089474099195,2.6679354964173205,1.4050526872445586,1.0775873581218618,1.0394410551360638,0.6723073951170492,1.0917409097216648,1.4384186948143756,0.8675334463915582,1.1760106619280322,0.5137186167885506,1.0086319644258437,0.780761168965921,0.680144278356605,0.6471754212091178,0.9474040106859519,1.04117201313463,0.2327992459943449,0.6684313673329293,NA,0.7640863472778692,1.1147156115526675,0.5405514679301526,1.0578876518917213,0.4603173866285896,0.7336507141067402,0.7336507141067402,0.7336507141067402,NA,0.7744227353463589,0.44418754776212316,0.597427122354222,0.28512225803510816,0.8035150173694334,0.43696682221408584,0.6645330045612919,0.5451757280051828,0.8442956569020235,0.4130234793389722,0.855939638533076,0.6245868571857323,0.5262178011182184,0.7873254564983887,0.5641031702174291,NA,0.8691588785046728,1.020854144534237,0.6834761570263548,1.0357507660878447
2000-07-31,2000,7,0.8148211098835728,0.8148211098835728,0.8148211098835728,1.0131591921954357,0.9732325319814702,2.335395706569235,0.7375653781794166,1.378416561334252,1.7838568343731782,1.571302350238558,0.9688938329153435,0.7784179405954846,1.1301685946556883,1.098506457631624,2.1535561420951086,0.9666670340083089,2.2189879863448487,1.299702089482101,0.9599962883155284,0.8150205294061751,0.5944985518867932,1.0104000062781064,0.9792359344721284,0.8773318258903335,1.1781430475344294,0.4946744662400544,0.9971226785247187,0.7313469731422853,0.6297324373573067,0.6451932606541128,0.9082172417625336,1.0669360949734783,0.23656927426955698,0.6746347130417314,NA,0.7812643839909802,1.0083556317094584,0.5580940470191339,1.009181672059958,0.3975401403504621,0.7356552242545729,0.7356552242545729,0.7356552242545729,NA,0.7774676478051256,0.43745791266832873,0.5714719979758254,0.22970961832272538,0.7257908379095831,0.4507551234435891,0.6729638372273231,0.5379358973249659,0.9015024659549634,0.4268451519162043,0.8612037199508685,0.6546476340855216,0.5296359092457998,0.7926960257787324,0.575821799517081,NA,0.9044652128764277,0.8973214214494688,0.6774677443723891,0.9995357043365214
2000-08-31,2000,8,0.8178805132999066,0.8178805132999066,0.8178805132999066,0.9894597115057592,0.9987875908124519,2.3906425981994146,0.8072657878844985,1.4340924026455892,1.7635296429215812,1.7006538257642694,0.9915120409787231,0.883077989454138,1.1449578240346654,1.176163109309205,2.167318076033814,0.9736881680277573,2.4751737233623317,1.3911377478290927,0.9535207659305148,0.5998278275737797,0.6313226331803173,1.065079611975854,1.2091963506078531,0.88939136988882606,1.1813416259440253,0.5100755976219746,0.9929374836515825,0.6323015193166598,0.671661492865144,0.6551040634291376,0.9055752503854384,1.0881535741348825,0.23044297832233737,0.675761156124445,NA,0.7844053029317655,1.0126331173981533,0.5808008184348934,0.8749101485587093,0.43661303907868154,0.7246304184414933,0.7246304184414933,0.7246304184414933,NA,0.7764526769855368,0.41589639501692033,0.5428925393411645,0.24818917979502686,0.7195769047089398,0.4216171029335416,0.6614742202901239,0.558811169725442,0.864181355724206,0.4126272312811368,0.8601509036673101,0.6891277606272831,0.5330540173733813,0.7969924812030075,0.5869332455019151,NA,0.9013499480789199,0.9091601058352488,0.6652816545901685,0.9661064165660692
2000-09-30,2000,9,0.8209399167162404,0.8209399167162404,0.8209399167162404,0.9191832938098637,0.9964305350265231,2.4397945937118566,0.8302296078594896,1.4586910185101605,1.9916497486922147,1.6953525357837076,1.028111986201344,0.9382577440716778,1.1873332290558454,1.1365035937574368,2.3854998080359158,0.9841106086561737,2.828741281020576,1.5141488386947217,0.993752398409289,0.8685599790735565,0.6028215351603393,1.1100949420667778,1.3687641905400705,0.9142641793857169,1.1706796979120393,0.5236566831026163,0.9992152759612869,0.8952673854672817,0.7123965717273917,0.6551040634291376,0.9477029643370645,1.1078555190704722,0.2327992459943449,0.7081030018801466,NA,0.7741399990005483,1.21119832903405,0.5975323676142339,0.9011573681078184,0.46988216921128567,0.7216236532197445,0.7216236532197445,0.7216236532197445,NA,0.7784826186247147,0.4421807863326508,0.56023147539097,0.27021070319836965,0.7783685472976437,0.45278472560944266,0.6385544942108065,0.5557387846272521,0.8509371028799849,0.445909616892872,0.8654149850851026,0.7057007698475234,0.5364721255009629,0.799140708915145,0.5981782267619903,NA,0.8774662512980269,1.04960228508371,0.6707973960403314,0.9727922741201596
2000-10-31,2000,10,0.8229795189937963,0.8229795189937963,0.8229795189937963,0.9879235133735964,1.0402737064605383,2.5247139165726566,0.8751556054723774,1.507262966877081,2.041119031047903,1.732461565647641,1.0514485931553357,0.9413227096662571,1.2384083230618999,1.1952454231850023,2.528452272421468,1.0325880992363232,2.7859437347446314,1.548345417386479,1.0246892476101217,0.8949400681493549,0.6996763447491369,1.1538748676585997,1.2501378878531724,0.942151874882231,1.1802754331408267,0.5110894673226827,1.0096782631441277,0.6838737414118319,0.725630714085998,0.66005946481665,0.9465437301885653,1.1214953271028036,0.24646559849198862,0.6859816898091033,NA,0.7566932283796929,1.1836800829322607,0.5957240115856907,1.0551883286599744,0.4492089575073796,0.7296416938110749,0.7296416938110749,0.7296416938110749,NA,0.7805125602638925,0.481553563903813,0.521890324748074,0.2863033473363392,0.8424283526572033,0.46557113876750994,0.6695514814934027,0.5415063389273418,0.6533303681801879,0.4572870697999248,0.8696262502193367,0.6968559494342657,0.5398902336285444,0.8002148227712137,0.6098782916520035,NA,0.8390446521287641,0.9464922087426856,0.6485001922230785,0.9516203918655399
2000-11-30,2000,11,0.8229795189937963,0.8229795189937963,0.8229795189937963,0.9741892540751862,1.0425757365208754,2.5442731656583715,0.8644660440053105,1.5116110978049646,2.0944833741661695,1.6932320197914825,1.0538574519948964,0.9485295354577385,1.2375760341437045,1.1797521445657155,2.58031377947577,1.0451790785553379,2.872293022531969,1.5739245306148801,1.0663862817273657,0.9727875016733506,0.7339584049572553,1.237173603663825,1.3692002880136256,0.9655172413793102,1.1674811195024437,0.5148293369438,1.017002354172116,0.6815343291247568,0.7337106172374144,0.66005946481665,0.9793007717656907,1.1252841626673402,0.21677662582469365,0.669553223068868,NA,0.7321082370160995,1.1656689609638207,0.589599705448777,1.0302870388859007,0.4686578724371121,0.7256326735154098,0.7256326735154098,0.7256326735154098,NA,0.7794975894443035,0.47007507797765274,0.5433928686546948,0.3236130734918463,0.8497457929354397,0.4751969987600366,0.7038758351400353,0.5691653912550781,0.501321820626704,0.46569613275955063,0.8738375153535708,0.6995802046796221,0.543308341756126,0.8023630504833512,0.6215975637822173,NA,0.8006230529595014,1.0052336874559846,0.6800939692177,0.9772495124895533
2000-12-31,2000,12,0.8209399167162404,0.8209399167162404,0.8209399167162404,0.76087312326044,1.026857768311417,1.9435277277749166,0.7132056292714816,1.231896392094919,1.70260152801415,1.6455204099664251,0.8634791642902343,0.8250566230762495,0.9166411685480472,0.8435780452235686,2.04528120253071,0.867481045827887,2.8943801302904384,1.2763731106516376,0.9760928894267579,0.6579476452471091,0.86601303564809,0.9818333557839171,1.5717877992369294,0.9994347088750706,1.1685473123056422,0.4801466675197428,1.014909756735548,0.5351503418941371,0.649771512623407,0.6590683845391475,0.8834329306541107,1.1154331901995453,0.2262016965127238,0.6106754792919986,NA,0.7240099606520796,1.0161451132639363,0.5434546314829909,1.0315500321197395,0.47074353352109843,0.7316462039589076,0.7316462039589076,0.7316462039589076,NA,0.7774676478051256,0.4246238415089022,0.537232653881133,0.33988052075179503,0.7609043840876536,0.5002642361416525,0.7075122914084276,0.5249074199488049,0.4455335700877852,0.48119047606861565,0.8738375153535708,0.7323027981246973,0.5467264498837074,0.8045112781954887,0.6331781778266385,NA,0.7902388369678088,1.0806425083323192,0.7102781627699305,0.9839353700436437
2001-01-31,2001,1,0.8158409110223507,0.8158409110223507,0.8158409110223507,0.7881927577149297,0.9724485514287642,2.100700609102174,0.7908398245349522,1.4035904400513826,1.716716518049491,1.6317370560169642,0.9406827283815786,0.9955048292633908,1.0802966924137927,1.0299966940859415,2.4235740766001306,0.9506612947902585,2.4064618975372976,1.3506170623929512,0.9793154662982525,0.8804838037486896,0.5662682303491374,1.0397407943685217,0.9295598055664632,1.1072168833615978,1.1781430475344294,0.4952987776896444,1.0086319644258437,0.6961564722706887,0.6355743167853164,0.6699702675916748,0.8756512468000244,1.1101288204091941,0.1979264844486333,0.621581901628462,NA,0.6464602980336404,1.0517584291155475,0.5573017830294436,1.0415849350425126,0.4223591335828198,0.7386619894763218,0.7386619894763218,0.7386619894763218,NA,0.7835574727226593,0.49786480690407026,0.5110589659437319,0.29337839546274935,0.6653317278209876,0.4330015326562887,0.6629372630919729,0.5126601709155331,0.5231948113425957,0.42897199888429965,0.8791015967713633,0.7856904865899883,0.5501445580112889,0.806659505907626,0.5405552230795039,NA,0.8099688473520248,0.9041874439396319,0.7256496077906832,0.90259076980221
